0,151,393,157,490,1575,264,1236,208,1480,1158,
151,0,544,6,641,1726,415,1387,57,1631,1309,
393,544,0,550,97,1182,129,843,601,1087,765,
157,6,550,0,647,1732,421,1393,51,1637,1315,
490,641,97,647,0,1085,226,746,698,990,668,
1575,1726,1182,1732,1085,0,1311,339,1783,95,417,
264,415,129,421,226,1311,0,972,472,1216,894,
1236,1387,843,1393,746,339,972,0,1444,244,78,
208,57,601,51,698,1783,472,1444,0,1688,1366,
1480,1631,1087,1637,990,95,1216,244,1688,0,322,
1158,1309,765,1315,668,417,894,78,1366,322,0,
